id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
77,32,JAWA BARAT,3203,KABUPATEN CIANJUR,30 - 34,LAKI-LAKI,90908,JIWA,2020
78,32,JAWA BARAT,3203,KABUPATEN CIANJUR,30 - 34,PEREMPUAN,86632,JIWA,2020
79,32,JAWA BARAT,3203,KABUPATEN CIANJUR,35 - 39,LAKI-LAKI,92764,JIWA,2020
80,32,JAWA BARAT,3203,KABUPATEN CIANJUR,35 - 39,PEREMPUAN,90843,JIWA,2020
81,32,JAWA BARAT,3203,KABUPATEN CIANJUR,40 - 44,LAKI-LAKI,83276,JIWA,2020
82,32,JAWA BARAT,3203,KABUPATEN CIANJUR,40 - 44,PEREMPUAN,85435,JIWA,2020
83,32,JAWA BARAT,3203,KABUPATEN CIANJUR,45 - 49,LAKI-LAKI,82088,JIWA,2020
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,45 - 49,PEREMPUAN,81254,JIWA,2020
85,32,JAWA BARAT,3203,KABUPATEN CIANJUR,50 - 54,LAKI-LAKI,67794,JIWA,2020
86,32,JAWA BARAT,3203,KABUPATEN CIANJUR,50 - 54,PEREMPUAN,64830,JIWA,2020
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,55 - 59,LAKI-LAKI,58097,JIWA,2020
88,32,JAWA BARAT,3203,KABUPATEN CIANJUR,55 - 59,PEREMPUAN,52881,JIWA,2020
89,32,JAWA BARAT,3203,KABUPATEN CIANJUR,60 - 64,LAKI-LAKI,46400,JIWA,2020
90,32,JAWA BARAT,3203,KABUPATEN CIANJUR,60 - 64,PEREMPUAN,40662,JIWA,2020
91,32,JAWA BARAT,3203,KABUPATEN CIANJUR,65 - 69,LAKI-LAKI,31010,JIWA,2020
92,32,JAWA BARAT,3203,KABUPATEN CIANJUR,65 - 69,PEREMPUAN,24822,JIWA,2020
